Index,Pokemon,HP,Atk,Def,SpAtk,SpDef,Speed,Total,Type I,Type II,Ability I,Ability II,Hidden Ability,Color
314,Slaking,150,160,100,95,65,100,670,Normal,,Truant,,,Brown
315,Nincada,31,45,90,30,30,40,266,Bug,Ground,Compoundeyes,,Run Away,Gray
316,Ninjask,61,90,45,50,50,160,456,Bug,Flying,Speed Boost,,Infiltrator,Yellow
317,Shedinja,1,90,45,30,30,40,236,Bug,Ghost,Wonder Guard,,,Brown
318,Whismur,64,51,23,51,23,28,240,Normal,,Soundproof,,Rattled,Pink
319,Loudred,84,71,43,71,43,48,360,Normal,,Soundproof,,Scrappy,Blue
320,Exploud,104,91,63,91,63,68,480,Normal,,Soundproof,,Scrappy,Blue
321,Makuhita,72,60,30,20,30,25,237,Fighting,,Thick Fat,Guts,Sheer Force,Yellow
322,Hariyama,144,120,60,40,60,50,474,Fighting,,Thick Fat,Guts,Sheer Force,Brown
210,Azurill,50,20,40,20,40,20,190,Normal,Fairy,Thick Fat,Huge Power,Sap Sipper,Blue
323,Nosepass,30,45,135,45,90,30,375,Rock,,Sturdy,Magnet Pull,Sand Force,Gray
325,Skitty,50,45,45,35,35,50,260,Normal,,Cute Charm,Normalize,Wonder Skin,Pink
326,Delcatty,70,65,65,55,55,70,380,Normal,,Cute Charm,Normalize,Wonder Skin,Purple
327,Sableye,50,75,75,65,65,50,380,Dark,Ghost,Keen Eye,Stall,Prankster,Purple
328,Mawile,50,85,85,55,55,50,380,Steel,Fairy,Hyper Cutter,Intimidate,Sheer Force,Black
329,Aron,50,70,100,40,40,30,330,Steel,Rock,Sturdy,Rock Head,Heavy Metal,Gray
330,Lairon,60,90,140,50,50,40,430,Steel,Rock,Sturdy,Rock Head,Heavy Metal,Gray
331,Aggron,70,110,180,60,60,50,530,Steel,Rock,Sturdy,Rock Head,Heavy Metal,Gray
332,Meditite,30,40,55,40,55,60,280,Fighting,Psychic,Pure Power,,Telepathy,Blue
333,Medicham,60,60,75,60,75,80,410,Fighting,Psychic,Pure Power,,Telepathy,Red
334,Electrike,40,45,40,65,40,65,295,Electric,,Static,Lightningrod,Minus,Green
335,Manectric,70,75,60,105,60,105,475,Electric,,Static,Lightningrod,Minus,Yellow
336,Plusle,60,50,40,85,75,95,405,Electric,,Plus,,,Yellow
337,Minun,60,40,50,75,85,95,405,Electric,,Minus,,,Yellow
338,Volbeat,65,73,55,47,75,85,400,Bug,,Illuminate,Swarm,Prankster,Gray
339,Illumise,65,47,55,73,75,85,400,Bug,,Oblivious,Tinted Lens,Prankster,Purple
341,Roselia,50,60,45,100,80,65,400,Grass,Poison,Natural Cure,Poison Point,Leaf Guard,Green
343,Gulpin,70,43,53,43,53,40,302,Poison,,Liquid Ooze,Sticky Hold,Gluttony,Green
344,Swalot,100,73,83,73,83,55,467,Poison,,Liquid Ooze,Sticky Hold,Gluttony,Purple
345,Carvanha,45,90,20,65,20,65,305,Water,Dark,Rough Skin,,Speed Boost,Red
346,Sharpedo,70,120,40,95,40,95,460,Water,Dark,Rough Skin,,Speed Boost,Blue
347,Wailmer,130,70,35,70,35,60,400,Water,,Water Veil,Oblivious,Pressure,Blue
348,Wailord,170,90,45,90,45,60,500,Water,,Water Veil,Oblivious,Pressure,Blue
349,Numel,60,60,40,65,45,35,305,Fire,Ground,Oblivious,Simple,Own Tempo,Yellow
350,Camerupt,70,100,70,105,75,40,460,Fire,Ground,Magma Armor,Solid Rock,Anger Point,Red
351,Torkoal,70,85,140,85,70,20,470,Fire,,White Smoke,,Shell Armor,Brown
352,Spoink,60,25,35,70,80,60,330,Psychic,,Thick Fat,Own Tempo,Gluttony,Black
353,Grumpig,80,45,65,90,110,80,470,Psychic,,Thick Fat,Own Tempo,Gluttony,Purple
354,Spinda,60,60,60,60,60,60,360,Normal,,Own Tempo,Tangled Feet,Contrary,Brown
355,Trapinch,45,100,45,45,45,10,290,Ground,,Hyper Cutter,Arena Trap,Sheer Force,Brown
356,Vibrava,50,70,50,50,50,70,340,Ground,Dragon,Levitate,,,Green
357,Flygon,80,100,80,80,80,100,520,Ground,Dragon,Levitate,,,Green
358,Cacnea,50,85,40,85,40,35,335,Grass,,Sand Veil,,Water Absorb,Green
359,Cacturne,70,115,60,115,60,55,475,Grass,Dark,Sand Veil,,Water Absorb,Green
360,Swablu,45,40,60,40,75,50,310,Normal,Flying,Natural Cure,,Cloud Nine,Blue
361,Altaria,75,70,90,70,105,80,490,Dragon,Flying,Natural Cure,,Cloud Nine,Blue
362,Zangoose,73,115,60,60,60,90,458,Normal,,Immunity,,Poison Rampage,White
363,Seviper,73,100,60,100,60,65,458,Poison,,Shed Skin,,Infiltrator,Black
364,Lunatone,70,55,65,95,85,70,440,Rock,Psychic,Levitate,,,Yellow
365,Solrock,70,95,85,55,65,70,440,Rock,Psychic,Levitate,,,Red
366,Barboach,50,48,43,46,41,60,288,Water,Ground,Oblivious,Anticipate,Hydration,Gray
367,Whiscash,110,78,73,76,71,60,468,Water,Ground,Oblivious,Anticipate,Hydration,Blue
368,Corphish,43,80,65,50,35,35,308,Water,,Hyper Cutter,Shell Armor,Adaptability,Red
369,Crawdaunt,63,120,85,90,55,55,468,Water,Dark,Hyper Cutter,Shell Armor,Adaptability,Red
370,Baltoy,40,40,55,40,70,55,300,Ground,Psychic,Levitate,,,Brown
371,Claydol,60,70,105,70,120,75,500,Ground,Psychic,Levitate,,,Black
372,Lileep,66,41,77,61,87,23,355,Rock,Grass,Suction Cups,,Storm Drain,Purple
373,Cradily,86,81,97,81,107,43,495,Rock,Grass,Suction Cups,,Storm Drain,Green
374,Anorith,45,95,50,40,50,75,355,Rock,Bug,Battle Armor,,Swift Swim,Gray
375,Armaldo,75,125,100,70,80,45,495,Rock,Bug,Battle Armor,,Swift Swim,Gray
376,Feebas,20,15,20,10,55,80,200,Water,,Swift Swim,,Adaptability,Brown
377,Milotic,95,60,79,100,125,81,540,Water,,Marvel Scale,,Cute Charm,Pink
378,Castform,70,70,70,70,70,70,420,Normal,,Forecast,,,White
379,Kecleon,60,90,70,60,120,40,440,Normal,,Color Change,,,Green
380,Shuppet,44,75,35,63,33,45,295,Ghost,,Insomnia,Frisk,Cursed Body,Black
381,Banette,64,115,65,83,63,65,455,Ghost,,Insomnia,Frisk,Cursed Body,Black
382,Duskull,20,40,90,30,90,25,295,Ghost,,Levitate,,,Black
383,Dusclops,40,70,130,60,130,25,455,Ghost,,Pressure,,,Black
385,Tropius,99,68,83,72,87,51,460,Grass,Flying,Chlorophyll,Solar Power,Harvest,Green
387,Chimecho,65,50,70,95,80,65,425,Psychic,,Levitate,,,Blue
388,Absol,65,130,60,75,60,75,465,Dark,,Pressure,Super Luck,Justified,White
231,Wynaut,95,23,48,23,48,23,260,Psychic,,Shadow Tag,,Telepathy,Blue
389,Snorunt,50,50,50,50,50,50,300,Ice,,Inner Focus,Ice Body,Moody,Gray
390,Glalie,80,80,80,80,80,80,480,Ice,,Inner Focus,Ice Body,Moody,Gray
392,Spheal,70,40,50,55,50,25,290,Ice,Water,Thick Fat,Ice Body,Oblivious,Blue
393,Sealeo,90,60,70,75,70,45,410,Ice,Water,Thick Fat,Ice Body,Oblivious,Blue
394,Walrein,110,80,90,95,90,65,530,Ice,Water,Thick Fat,Ice Body,Oblivious,Blue
395,Clamperl,35,64,85,74,55,32,345,Water,,Shell Armor,,Rattled,Blue
396,Huntail,55,104,105,94,75,52,485,Water,,Swift Swim,,Water Veil,Blue
397,Gorebyss,55,84,105,114,75,52,485,Water,,Swift Swim,,Hydration,Pink
398,Relicanth,100,90,130,45,65,55,485,Water,Rock,Swift Swim,Rock Head,Sturdy,Gray
399,Luvdisc,43,30,55,40,65,97,330,Water,,Swift Swim,,Hydration,Pink
400,Bagon,45,75,60,40,30,50,300,Dragon,,Rock Head,,Sheer Force,Blue
401,Shelgon,65,95,100,60,50,50,420,Dragon,,Rock Head,,Overcoat,White
402,Salamence,95,135,80,110,80,100,600,Dragon,Flying,Intimidate,,Moxie,Blue
403,Beldum,40,55,80,35,60,30,300,Steel,Psychic,Clear Body,,Light Metal,Blue
404,Metang,60,75,100,55,80,50,420,Steel,Psychic,Clear Body,,Light Metal,Blue
405,Metagross,80,135,130,95,90,70,600,Steel,Psychic,Clear Body,,Light Metal,Blue
406,Regirock,80,100,200,50,100,50,580,Rock,,Clear Body,,Sturdy,Brown
407,Regice,80,50,100,100,200,50,580,Ice,,Clear Body,,Ice Body,Blue
408,Registeel,80,75,150,75,150,50,580,Steel,,Clear Body,,Light Metal,Gray
409,Latias,80,80,90,110,130,110,600,Dragon,Psychic,Levitate,,,Red
410,Latios,80,90,80,130,110,110,600,Dragon,Psychic,Levitate,,,Blue
411,Kyogre,100,100,90,150,140,90,670,Water,,Drizzle,,,Blue
412,Groudon,100,150,140,100,90,90,670,Ground,,Drought,,,Red
413,Rayquaza,105,150,90,150,90,95,680,Dragon,Flying,Air Lock,,,Green
414,Jirachi,100,100,100,100,100,100,600,Steel,Psychic,Serene Grace,,,Yellow
415,Deoxys (N),50,150,50,150,50,150,600,Psychic,,Pressure,,,Red
415.1,Deoxys (A),50,180,20,180,20,150,600,Psychic,,Pressure,,,Red
415.2,Deoxys (D),50,70,160,70,160,90,600,Psychic,,Pressure,,,Red
415.3,Deoxys (S),50,95,90,95,90,180,600,Psychic,,Pressure,,,Red
416,Turtwig,55,68,64,45,55,31,318,Grass,,Overgrow,,Shell Armor,Green
417,Grotle,75,89,85,55,65,36,405,Grass,,Overgrow,,Shell Armor,Green
418,Torterra,95,109,105,75,85,56,525,Grass,Ground,Overgrow,,Shell Armor,Green
419,Chimchar,44,58,44,58,44,61,309,Fire,,Blaze,,Iron Fist,Brown
420,Monferno,64,78,52,78,52,81,405,Fire,Fighting,Blaze,,Iron Fist,Brown
421,Infernape,76,104,71,104,71,108,534,Fire,Fighting,Blaze,,Iron Fist,Brown
422,Piplup,53,51,53,61,56,40,314,Water,,Torrent,,Defiant,Blue
423,Prinplup,64,66,68,81,76,50,405,Water,,Torrent,,Defiant,Blue
424,Empoleon,84,86,88,111,101,60,530,Water,Steel,Torrent,,Defiant,Blue
425,Starly,40,55,30,30,30,60,245,Normal,Flying,Keen Eye,,,Brown
426,Staravia,55,75,50,40,40,80,340,Normal,Flying,Intimidate,,Reckless,Brown
427,Staraptor,85,120,70,50,50,100,475,Normal,Flying,Intimidate,,Reckless,Brown
428,Bidoof,59,45,40,35,40,31,250,Normal,,Simple,Unaware,Moody,Brown
429,Bibarel,79,85,60,60,71,55,410,Normal,Water,Simple,Unaware,Moody,Brown
430,Kricketot,37,25,41,25,41,25,194,Bug,,Shed Skin,,Run Away,Red
431,Kricketune,77,85,51,55,51,65,384,Bug,,Swarm,,Technician,Red
432,Shinx,45,65,34,40,34,45,263,Electric,,Rivalry,Intimidate,Guts,Blue
433,Luxio,60,85,49,60,49,60,363,Electric,,Rivalry,Intimidate,Guts,Blue
434,Luxray,80,120,79,95,79,70,523,Electric,,Rivalry,Intimidate,Guts,Blue
340,Budew,40,30,35,50,70,55,280,Grass,Poison,Natural Cure,Poison Point,Leaf Guard,Green
342,Roserade,60,70,55,125,105,90,505,Grass,Poison,Natural Cure,Poison Point,Technician,Green
435,Cranidos,67,125,40,30,30,58,350,Rock,,Mold Breaker,,Sheer Force,Blue
436,Rampardos,97,165,60,65,50,58,495,Rock,,Mold Breaker,,Sheer Force,Blue
437,Shieldon,30,42,118,42,88,30,350,Rock,Steel,Sturdy,,Soundproof,Gray
438,Bastiodon,60,52,168,47,138,30,495,Rock,Steel,Sturdy,,Soundproof,Gray
439,Burmy,40,29,45,29,45,36,224,Bug,,Shed Skin,,Overcoat,Gray
440,Wormadam (P),60,59,85,79,105,36,424,Bug,Grass,Anticipate,,Overcoat,Gray
440.1,Wormadam (S),60,79,105,59,85,36,424,Bug,Ground,Anticipate,,Overcoat,Gray
440.2,Wormadam (T),60,69,95,69,95,36,424,Bug,Steel,Anticipate,,Overcoat,Gray
441,Mothim,70,94,50,94,50,66,424,Bug,Flying,Swarm,,Tinted Lens,Yellow
442,Combee,30,30,42,30,42,70,244,Bug,Flying,Honey Gather,,Hustle,Yellow
443,Vespiquen,70,80,102,80,102,40,474,Bug,Flying,Pressure,,Unnerve,Yellow
444,Pachirisu,60,45,70,45,90,95,405,Electric,,Run Away,Pickup,Volt Absorb,White
445,Buizel,55,65,35,60,30,85,330,Water,,Swift Swim,,Water Veil,Brown
446,Floatzel,85,105,55,85,50,115,495,Water,,Swift Swim,,Water Veil,Brown
447,Cherubi,45,35,45,62,53,35,275,Grass,,Chlorophyll,,,Pink
448,Cherrim,70,60,70,87,78,85,450,Grass,,Flower Gift,,,Pink
449,Shellos,76,48,48,57,62,34,325,Water,,Sticky Hold,Storm Drain,Sand Force,Purple
450,Gastrodon,111,83,68,92,82,39,475,Water,Ground,Sticky Hold,Storm Drain,Sand Force,Purple
219,Ambipom,75,100,66,60,66,115,482,Normal,,Technician,Pickup,Skill Link,Purple
451,Drifloon,90,50,34,60,44,70,348,Ghost,Flying,Aftermath,Unburden,Flare Boost,Purple
452,Drifblim,150,80,44,90,54,80,498,Ghost,Flying,Aftermath,Unburden,Flare Boost,Purple
453,Buneary,55,66,44,44,56,85,350,Normal,,Run Away,Klutz,Limber,Brown
454,Lopunny,65,76,84,54,96,105,480,Normal,,Cute Charm,Klutz,Limber,Brown
229,Mismagius,60,60,60,105,105,105,495,Ghost,,Levitate,,,Purple
227,Honchkrow,100,125,52,105,52,71,505,Dark,Flying,Insomnia,Super Luck,Moxie,Black
455,Glameow,49,55,42,42,37,85,310,Normal,,Limber,Own Tempo,Keen Eye,Gray
456,Purugly,71,82,64,64,59,112,452,Normal,,Thick Fat,Own Tempo,Defiant,Gray
386,Chingling,45,30,50,65,50,45,285,Psychic,,Levitate,,,Yellow
457,Stunky,63,63,47,41,41,74,329,Poison,Dark,Stench,Aftermath,Keen Eye,Purple
458,Skuntank,103,93,67,71,61,84,479,Poison,Dark,Stench,Aftermath,Keen Eye,Purple
459,Bronzor,57,24,86,24,86,23,300,Steel,Psychic,Levitate,Heatproof,Heavy Metal,Green
460,Bronzong,67,89,116,79,116,33,500,Steel,Psychic,Levitate,Heatproof,Heavy Metal,Green
213,Bonsly,50,80,95,10,45,10,290,Rock,,Sturdy,Rock Head,Rattled,Brown
139,Mime Jr.,20,25,45,70,90,60,310,Psychic,Fairy,Soundproof,Filter,Technician,Pink
126,Happiny,100,5,5,15,65,30,220,Normal,,Natural Cure,Serene Grace,Friend Guard,Pink
461,Chatot,76,65,45,92,42,91,411,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,Black
462,Spiritomb,50,92,108,92,108,35,485,Ghost,Dark,Pressure,,Infiltrator,Purple
463,Gible,58,70,45,40,45,42,300,Dragon,Ground,Sand Veil,,Rough Skin,Blue
464,Gabite,68,90,65,50,55,82,410,Dragon,Ground,Sand Veil,,Rough Skin,Blue
465,Garchomp,108,130,95,80,85,102,600,Dragon,Ground,Sand Veil,,Rough Skin,Blue
173,Munchlax,135,85,40,40,85,5,390,Normal,,Pickup,Thick Fat,Gluttony,Black
466,Riolu,40,70,40,35,40,60,285,Fighting,,Steadfast,Inner Focus,Prankster,Blue
467,Lucario,70,110,70,115,70,90,525,Fighting,Steel,Steadfast,Inner Focus,Justified,Blue
468,Hippopotas,68,72,78,38,42,32,330,Ground,,Sand Stream,,Sand Force,Brown
469,Hippowdon,108,112,118,68,72,47,525,Ground,,Sand Stream,,Sand Force,Brown
470,Skorupi,40,50,90,30,55,65,330,Poison,Bug,Battle Armor,Sniper,Keen Eye,Purple
471,Drapion,70,90,110,60,75,95,500,Poison,Dark,Battle Armor,Sniper,Keen Eye,Purple
472,Croagunk,48,61,40,61,40,50,300,Poison,Fighting,Anticipate,Dry Skin,Poison Touch,Blue
473,Toxicroak,83,106,65,86,65,85,490,Poison,Fighting,Anticipate,Dry Skin,Poison Touch,Blue
474,Carnivine,74,100,72,90,72,46,454,Grass,,Levitate,,,Green
475,Finneon,49,49,56,49,61,66,330,Water,,Swift Swim,Storm Drain,Water Veil,Blue
476,Lumineon,69,69,76,69,86,91,460,Water,,Swift Swim,Storm Drain,Water Veil,Blue
257,Mantyke,45,20,50,60,120,50,345,Water,Flying,Swift Swim,Water Absorb,,Blue
477,Snover,60,62,50,62,60,40,334,Ice,Grass,Snow Warning,,Soundproof,White
478,Abomasnow,90,92,75,92,85,60,494,Ice,Grass,Snow Warning,,Soundproof,White
245,Weavile,70,120,65,45,85,125,510,Dark,Ice,Pressure,,Pickpocket,Black
90,Magnezone,70,70,115,130,90,60,535,Electric,Steel,Magnet Pull,Sturdy,Analytic,Gray
120,Lickilicky,110,85,95,80,95,50,515,Normal,,Own Tempo,Oblivious,Cloud Nine,Pink
125,Rhyperior,115,140,130,55,55,40,535,Ground,Rock,Lightningrod,Solid Rock,Reckless,Gray
130,Tangrowth,100,100,125,110,50,50,535,Grass,,Chlorophyll,Leaf Guard,Regenerator,Blue
147,Electivire,75,123,67,95,85,95,540,Electric,,Motor Drive,,Vital Spirit,Yellow
150,Magmortar,75,95,67,125,95,83,540,Fire,,Flame Body,,Vital Spirit,Red
204,Togekiss,85,50,95,120,115,80,545,Fairy,Flying,Hustle,Serene Grace,Super Luck,White
223,Yanmega,86,76,86,116,56,95,515,Bug,Flying,Speed Boost,Tinted Lens,Frisk,Green
163,Leafeon,65,110,130,60,65,95,525,Grass,,Leaf Guard,,Chlorophyll,Green
164,Glaceon,65,60,110,130,95,65,525,Ice,,Snow Cloak,,Ice Body,Blue
238,Gliscor,75,95,125,45,75,95,510,Ground,Flying,Hyper Cutter,Sand Veil,Poison Heal,Purple
252,Mamoswine,110,130,80,70,60,80,530,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,Brown
167,Porygon-Z,85,80,70,135,75,90,535,Normal,,Adaptability,Download,Analytic,Red
307,Gallade,68,125,65,65,115,80,518,Psychic,Fighting,Steadfast,,Justified,White
324,Probopass,60,55,145,75,150,40,525,Rock,Steel,Sturdy,Magnet Pull,Sand Force,Gray
384,Dusknoir,45,100,135,65,135,45,525,Ghost,,Pressure,,,Black
391,Froslass,70,80,70,80,70,110,480,Ice,Ghost,Snow Cloak,,Cursed Body,White
479,Rotom,50,50,77,95,77,91,440,Electric,Ghost,Levitate,,,Red
479.1,Rotom (Heat),50,65,107,105,107,86,520,Electric,Fire,Levitate,,,Red
479.2,Rotom (Wash),50,65,107,105,107,86,520,Electric,Water,Levitate,,,Red
479.3,Rotom (Frost),50,65,107,105,107,86,520,Electric,Ice,Levitate,,,Red
479.4,Rotom (Spin),50,65,107,105,107,86,520,Electric,Flying,Levitate,,,Red
479.5,Rotom (Cut),50,65,107,105,107,86,520,Electric,Grass,Levitate,,,Red
480,Uxie,75,75,130,75,130,95,580,Psychic,,Levitate,,,Yellow
481,Mesprit,80,105,105,105,105,80,580,Psychic,,Levitate,,,Pink
482,Azelf,75,125,70,125,70,115,580,Psychic,,Levitate,,,Blue
483,Dialga,100,120,120,150,100,90,680,Steel,Dragon,Pressure,,Telepathy,White
484,Palkia,90,120,100,150,120,100,680,Water,Dragon,Pressure,,Telepathy,Purple
485,Heatran,91,90,106,130,106,77,600,Fire,Steel,Flash Fire,,Flame Body,Brown
486,Regigigas,110,160,110,80,110,100,670,Normal,,Slow Start,,,White
487,Giratina,150,100,120,100,120,90,680,Ghost,Dragon,Pressure,,Telepathy,Black
487.1,Giratina (O),150,120,100,120,100,90,680,Ghost,Dragon,Levitate,,,Black
488,Cresselia,120,70,120,75,130,85,600,Psychic,,Levitate,,,Yellow
489,Phione,80,80,80,80,80,80,480,Water,,Hydration,,,Blue
490,Manaphy,100,100,100,100,100,100,600,Water,,Hydration,,,Blue
491,Darkrai,70,90,90,135,90,125,600,Dark,,Bad Dreams,,,Black
492,Shaymin,100,100,100,100,100,100,600,Grass,,Natural Cure,,,Green
492.1,Shaymin (S),100,103,75,120,75,127,600,Grass,Flying,Serene Grace,,,Green
493,Arceus,120,120,120,120,120,120,720,Normal,,Multitype,,,Gray
494,Victini,100,100,100,100,100,100,600,Psychic,Fire,Victory Star,,,Yellow
495,Snivy,45,45,55,45,55,63,308,Grass,,Overgrow,,Contrary,Green
496,Servine,60,60,75,60,75,83,413,Grass,,Overgrow,,Contrary,Green
497,Serperior,75,75,95,75,95,113,528,Grass,,Overgrow,,Contrary,Green
498,Tepig,65,63,45,45,45,45,308,Fire,,Blaze,,Thick Fat,Red
499,Pignite,90,93,55,70,55,55,418,Fire,Fighting,Blaze,,Thick Fat,Red
500,Emboar,110,123,65,100,65,65,528,Fire,Fighting,Blaze,,Reckless,Red
501,Oshawott,55,55,45,63,45,45,308,Water,,Torrent,,Shell Armor,Blue
502,Dewott,75,75,60,83,60,60,413,Water,,Torrent,,Shell Armor,Blue
503,Samurott,95,100,85,108,70,70,528,Water,,Torrent,,Shell Armor,Blue
504,Patrat,45,55,39,35,39,42,255,Normal,,Run Away,Keen Eye,Analytic,Brown
505,Watchog,60,85,69,60,69,77,420,Normal,,Illuminate,Keen Eye,Analytic,Brown
506,Lillipup,45,60,45,25,45,55,275,Normal,,Vital Spirit,Pickup,Run Away,Brown
507,Herdier,65,80,65,35,65,60,370,Normal,,Intimidate,Sand Rush,Scrappy,Gray
508,Stoutland,85,100,90,45,90,80,490,Normal,,Intimidate,Sand Rush,Scrappy,Gray
509,Purrloin,41,50,37,50,37,66,281,Dark,,Limber,Unburden,Prankster,Purple
510,Liepard,64,88,50,88,50,106,446,Dark,,Limber,Unburden,Prankster,Purple
511,Pansage,50,53,48,53,48,64,316,Grass,,Gluttony,,Overgrow,Green
512,Simisage,75,98,63,98,63,101,498,Grass,,Gluttony,,Overgrow,Green
513,Pansear,50,53,48,53,48,64,316,Fire,,Gluttony,,Blaze,Red
514,Simisear,75,98,63,98,63,101,498,Fire,,Gluttony,,Blaze,Red
515,Panpour,50,53,48,53,48,64,316,Water,,Gluttony,,Torrent,Blue
516,Simipour,75,98,63,98,63,101,498,Water,,Gluttony,,Torrent,Blue
517,Munna,76,25,45,67,55,24,292,Psychic,,Forewarn,Synchronize,Telepathy,Pink
518,Musharna,116,55,85,107,95,29,487,Psychic,,Forewarn,Synchronize,Telepathy,Pink
519,Pidove,50,55,50,36,30,43,264,Normal,Flying,Big Pecks,Super Luck,Rivalry,Gray
520,Tranquill,62,77,62,50,42,65,358,Normal,Flying,Big Pecks,Super Luck,Rivalry,Gray
521,Unfezant,80,105,80,65,55,93,478,Normal,Flying,Big Pecks,Super Luck,Rivalry,Gray
522,Blitzle,45,60,32,50,32,76,295,Electric,,Lightningrod,Motor Drive,Sap Sipper,Black
523,Zebstrika,75,100,63,80,63,116,497,Electric,,Lightningrod,Motor Drive,Sap Sipper,Black
524,Roggenrola,55,75,85,25,25,15,280,Rock,,Sturdy,,Sand Force,Blue
525,Boldore,70,105,105,50,40,20,390,Rock,,Sturdy,,Sand Force,Blue
526,Gigalith,85,135,130,60,70,25,505,Rock,,Sturdy,,Sand Force,Blue
527,Woobat,55,45,43,55,43,72,313,Psychic,Flying,Unaware,Klutz,Simple,Blue
528,Swoobat,67,57,55,77,55,114,425,Psychic,Flying,Unaware,Klutz,Simple,Blue
529,Drilbur,60,85,40,30,45,68,328,Ground,,Sand Rush,Sand Force,Mold Breaker,Gray
530,Excadrill,110,135,60,50,65,88,508,Ground,Steel,Sand Rush,Sand Force,Mold Breaker,Gray
531,Audino,103,60,86,60,86,50,445,Normal,,Healer,Regenerator,Klutz,Pink
532,Timburr,75,80,55,25,35,35,305,Fighting,,Guts,Sheer Force,Iron Fist,Gray
533,Gurdurr,85,105,85,40,50,40,405,Fighting,,Guts,Sheer Force,Iron Fist,Gray
534,Conkeldurr,105,140,95,55,65,45,505,Fighting,,Guts,Sheer Force,Iron Fist,Brown
535,Tympole,50,50,40,50,40,64,294,Water,,Swift Swim,Hydration,Water Absorb,Blue
536,Palpitoad,75,65,55,65,55,69,384,Water,Ground,Swift Swim,Hydration,Water Absorb,Blue
537,Seismitoad,105,85,75,85,75,74,499,Water,Ground,Swift Swim,Poison Touch,Water Absorb,Blue
538,Throh,120,100,85,30,85,45,465,Fighting,,Guts,Inner Focus,Mold Breaker,Red
539,Sawk,75,125,75,30,75,85,465,Fighting,,Sturdy,Inner Focus,Mold Breaker,Blue
540,Sewaddle,45,53,70,40,60,42,310,Bug,Grass,Swarm,Chlorophyll,Overcoat,Yellow
541,Swadloon,55,63,90,50,80,42,380,Bug,Grass,Leaf Guard,Chlorophyll,Overcoat,Green
542,Leavanny,75,103,80,70,70,92,490,Bug,Grass,Swarm,Chlorophyll,Overcoat,Yellow
543,Venipede,30,45,59,30,39,57,260,Bug,Poison,Poison Point,Swarm,Quick Feet,Red
544,Whirlipede,40,55,99,40,79,47,360,Bug,Poison,Poison Point,Swarm,Quick Feet,Gray
545,Scolipede,60,90,89,55,69,112,475,Bug,Poison,Poison Point,Swarm,Quick Feet,Red
546,Cottonee,40,27,60,37,50,66,280,Grass,Fairy,Prankster,Infiltrator,Chlorophyll,Green
547,Whimsicott,60,67,85,77,75,116,480,Grass,Fairy,Prankster,Infiltrator,Chlorophyll,Green
548,Petilil,45,35,50,70,50,30,280,Grass,,Chlorophyll,Own Tempo,Leaf Guard,Green
549,Lilligant,70,60,75,110,75,90,480,Grass,,Chlorophyll,Own Tempo,Leaf Guard,Green
550,Basculin,70,92,65,80,55,98,460,Water,,Reckless,Adaptability,Mold Breaker,Green
551,Sandile,50,72,35,35,35,65,292,Ground,Dark,Intimidate,Moxie,Anger Point,Brown
552,Krokorok,60,82,45,45,45,74,351,Ground,Dark,Intimidate,Moxie,Anger Point,Brown
553,Krookodile,95,117,70,65,70,92,509,Ground,Dark,Intimidate,Moxie,Anger Point,Red
554,Darumaka,70,90,45,15,45,50,315,Fire,,Hustle,,Inner Focus,Red
555,Darmanitan,105,140,55,30,55,95,480,Fire,,Sheer Force,,Zen Mode,Red
555.1,Darmanitan (Z),105,30,105,140,105,55,540,Fire,Psychic,,,Zen Mode,Red
556,Maractus,75,86,67,106,67,60,461,Grass,,Water Absorb,Chlorophyll,Storm Drain,Green
557,Dwebble,50,65,85,35,35,55,325,Bug,Rock,Sturdy,Shell Armor,Weak Armor,Red
558,Crustle,70,95,125,65,75,45,475,Bug,Rock,Sturdy,Shell Armor,Weak Armor,Red
559,Scraggy,50,75,70,35,70,48,348,Dark,Fighting,Shed Skin,Moxie,Intimidate,Yellow
560,Scrafty,65,90,115,45,115,58,488,Dark,Fighting,Shed Skin,Moxie,Intimidate,Red
561,Sigilyph,72,58,80,103,80,97,490,Psychic,Flying,Wonder Skin,Magic Guard,Tinted Lens,Black
562,Yamask,38,30,85,55,65,30,303,Ghost,,Mummy,,,Black
563,Cofagrigus,58,50,145,95,105,30,483,Ghost,,Mummy,,,Yellow
564,Tirtouga,54,78,103,53,45,22,355,Water,Rock,Solid Rock,Sturdy,Swift Swim,Blue
565,Carracosta,74,108,133,83,65,32,495,Water,Rock,Solid Rock,Sturdy,Swift Swim,Blue
566,Archen,55,112,45,74,45,70,401,Rock,Flying,Defeatist,,,Yellow
567,Archeops,75,140,65,112,65,110,567,Rock,Flying,Defeatist,,,Yellow
568,Trubbish,50,50,62,40,62,65,329,Poison,,Stench,Sticky Hold,Aftermath,Green
569,Garbodor,80,95,92,60,82,75,484,Poison,,Stench,Weak Armor,Aftermath,Green
570,Zorua,40,65,40,80,40,65,330,Dark,,Illusion,,,Gray
571,Zoroark,60,105,60,120,60,105,510,Dark,,Illusion,,,Gray
572,Minccino,55,50,40,40,40,75,300,Normal,,Cute Charm,Technician,Skill Link,Gray
573,Cinccino,75,95,60,65,60,115,470,Normal,,Cute Charm,Technician,Skill Link,Gray
